魏纪中：中超先天不足后天失调 总局的责任不可推卸
广东阵中也有“微波炉” 杜锋：战新疆我肯定先发
广东台柱1战锁定MVP奖杯 14年最传奇一幕即将诞生
南钢战万马严防斯奈德 杰森：他是CBA最出色外援
足协杯正式敲定决赛地点 成央视恢复直播比赛首战
辽宁对阵奥德杰誓言开门红 NBA洋帅令郭士强忌惮
南勇张吉龙组合有望亮相 春节前一切悬疑水落石出
广东末节惊魂胜东莞拿下德比 锋雨重演经典二人转
新苏粤争霸验出谁是最强外援 魔兽受伤训练打折扣  
斯奈德打满全场为赎罪 个人冲动连累球队深感懊悔
双面谢亚龙作秀终成做作 谁来为低劣行政能力埋单
中国足协钱袋8年缩水1.7亿 揭秘中国足球之困境
郭士强亚锦赛早已立军令状 低调备战下直言困难大
南勇案开庭尚无时间表 检察机关再次要求补充材料
广东更衣室老大用助攻盘活全队 帕克能力被他肯定
江苏老兵单节回春奠定胜局 一人表现已配得上MVP
一人低迷令东莞内线真空 赛季赢家为何成最大输家
威尔斯替身发飙狂砍38分 山西力取青岛结束三连败
疯狂阿泰全能数据抗衡本森 广东惊魂险胜北区黑马
CUBA联赛分区赛落幕八强产生 组委会新政创1良效
韩端：教练中场调整造就胜局 半场反差因一点不足
全运会预赛广东成票房灵丹 王仕鹏成故乡丹东名片
注册截止32名已签约外援曝光 北京东莞成最大赢家
蔚少辉昨日手机突然蹊跷开机 无人接听疑警方打开
天津末节爆发首获主场两连捷 姚明老东家吞12连败
CUBA八强赛：太原理工惊天逆转 六冠王华大遭淘汰
足球记者被害案两凶手被判死刑 罪犯向死者妻子下跪
巴特尔场均仅12分却修炼成精 下季他还值460万吗
华丽数据难掩性价比最低球员 他比水货更令人无奈
韦迪缺帮手老下级救火 赛艇领队下周前往足协报到
江苏新外援是个老实人 篮板之外还有一巨大吸引力
双外援留守山东向虎山行打不死他们也要拔几颗牙
前AC米兰冠军主帅执教日本男足 10月首秀战阿根廷
江苏胜辽宁报上季半决赛之仇 面具人易立惊艳全场
郎效农：谢亚龙处理过假赌黑 公安曾介绍侦查条件
张吉龙：认清形势再入正轨 对帮助中国足球心中有数
传说中的南家菜馆已成旅馆 老板竟与南勇妻子同名
江苏彻底放弃争第二 给山西“送分”为算计八一？
安贞焕3月3日归国参加A级赛 世界杯末班车在此一举
传反赌专案组将进入国安调查 中超假球远比甲A泛滥
父亲证实朴智星亚洲杯后退出韩国队 百场梦想将破灭
王国林怒斥陆俊话语曝光中国第一黑哨 坏到极点
北京老兵进800助攻俱乐部 最大荣誉却成球队硬伤？
克劳琛惊人预测连粤赛果 他眼里中国足球症结何在
媒体研讨会推举女足新帅候选 提名11人三人成热门
第一中锋豪言自己还没有老 巴特尔：我不在乎数据
张凯带女友回武汉训练 全运会出线将迎来终生大事
打出“化学反应”还不够 威尔斯需适应CBA潜规则
八一红山口集训备战新赛季 王磊：用季前赛练练兵
张大宇距离NBA有多远 他是全中国同龄人最好球员
篮坛名宿张锡山因病逝世“空中坦克”曾是男篮核心
丹东法警透露谢亚龙五月出庭受审 具体时间待公布
江苏战广厦杰森要玩联防 发薪日队员自愿缴纳罚款
友谊赛中国国青1-0日本 国字号大总管脸上无笑容
广东新内线不想当巴特尔第二我想打出自己的特点
中国斯特恩功成身退 尤纳斯九问后李元伟闻过则喜
孙明明转战日本联赛 2米36巨人踮脚就能灌篮(图)
韦迪：足球面临一个新的春天 有支持解决问题就不难
张吉龙低调上任履新亚足联 转正还需天时地利人和
南勇被查实受贿百万 陆俊涉案金额远超龚建平当年
日裁判负责人：黑哨可怜或受环境影响 孙葆洁不错
14年CBA进入“雷”人时代 “问题哨”仍横行无忌
李群点出男篮二队最大隐患 战东亚球队有应对良策
女足亚少赛-三将梅开二度 中国队8-0泰国取开门红
CBA未开战球队哄抢外援 注册混乱暴露篮协规则漏洞
警方证实谢亚龙蔚少辉李冬生三人被立案侦查
江苏触底疯狂反弹灭广东 31分狂胜连创苏粤四纪录
母亲为儿送汤遇车祸去世 张凯一夜长大终逼近梦想
申花高层：足协杯亚军无缘亚冠 竞争冠军才有戏 
李树斌：幸福来得太突然 冲超过程就是一场战斗
揭秘谢亚龙南勇微妙复杂关系 曾激烈争执相互告状
威尔斯首演却保留招牌节目 为何说这不是100%棒子
莫科：八一全运会目标卫冕 王治郅不让我进国家队
山东队内传来绝望消息 球队支柱恐因伤无缘季后赛
罗杰斯66分创本季最高吉林胜 15粒三分破14年纪录
转播表-青海直播东莞遇江苏 7台关注青岛挑战新疆
朱芳雨40分广东豪取两连胜 湖北3场不败锁定决赛
足协近期热议话题：寻找总局里那个和足球有关的人
女足22岁猛将屡破日本防线 前国脚赞她起核心作用
新全能王1战创造历史 梦境般47分16板14助攻诞生
韩涉假队辞退除主帅外所有官员 联赛负责人公开道歉
 
唐正东复出江苏埋下玄机 两届MVP已成球队双刃剑
东莞主帅：平常心看待“德比” 三巨头仍有潜力
病人汤普森竟成山东输球罪人 巩晓彬坦言引援失败
沉睡“死神”未到觉醒时 一周后恐惧气息才会蔓延
有有球员扬言：不是假球是罢赛 不给钱就无限期罢赛
奥运后陈江华噩梦未醒 天才控卫何时才能再现神奇
女足战强敌苦练两招 李霄鹏坦言定位球是制胜法宝
斯奈德单节20分恐令姚明抓狂 两大纪录等着他打破
南杨状况南勇精神萎靡 杨一民一夜白头苍老十几岁
卡洛斯首秀湖北队誓拿三分 深圳五轮不胜气势低迷
广东防守悍将血溅赛场 死神肢体碰撞险引冲突(图)
南京有有能否被中甲存疑 准入制考验俱乐部软硬实力
李楠周日赴宁波八一大团圆 铁军恐首次无缘季后赛
张庆鹏1战迈过重要里程碑 500粒三分成辽宁第一人
U17世界杯日本再获历史突破 中国足球究竟输在哪
传蔚少辉亦被邵文忠供出 阎世铎时代他已涉嫌腐败
溃败女足无组织无配合无战术 谁在自废武功甘受辱
男篮抵达北仑弃高级酒店 细节暗示姚明将到场助威
胡卫东赴美向湖人“取经” 先见孙悦总决赛后回归
被淘汰后江苏第一刀挥向谁 杰森自称难逃下课厄运
铿锵玫瑰面临生死战 李霄鹏：一条路比两条路要好
“年龄门”调查结果出炉 八人修改年龄却逃过处罚
“黑吃黑”将成下赛季主旋律 军粤依然是诸强天堑
实录-钻石杯中国胜伊朗获季军 姚明率队创历史最佳
全国青少年联赛总决赛昆明开幕 梅兹日本青年军参战
申花创近三届足协杯最好战绩 疲惫延边或力不从心
拉姆：德国队年轻但不可小视 克洛泽：从没怀疑过自己
姚明做客CNN严守“国家机密” 用冰淇淋俘获叶莉心
大连VS南昌首发：实德四外援出击 锋线双洋枪领衔
三城PK谁能笑到最后 申办世锦赛北京有一最大优势
亚洲杯热身中国女足将战加拿大 徐媛：塑造全新打法
巴西主帅：我们不是败军之将 输球或因踢得太快
火箭体能教练为中国篮球号脉 下一个姚明从何练起
张凯：进季后赛再谈四强 与传统强队实力仍有差距
谢亚龙被曝心脏病突发保外就医 被捕属实只待公布
杨超龚松林伤病影响新赛季 福建第一目标进季后赛
张吉龙之前的中国籍亚足联高官 中国足球因他们而变
曝吕锋虚开百万机票 南勇最终涉案金额达两百万
重庆大坪女足事件今召开发布会 向社会公布调查结果
最艰难1季终于走到尽头 39岁战神不想和CBA说再见
张新军蔡启煌麓山并列领先 记分卡直播决赛轮
老盖茨称天津男篮未达期待水平 对阵山东先看录像
山东上轮罪人迎41+10+爆发 胜利竟令他赌钱有小赚
辽宁只能跟季后赛说再见 外援斯特雷高喊太不公平
专访东亚足联总干事长假赌黑将令中国足球难再崛起
郭晶晶若非北京奥运早退役 MSN放着与霍启刚合影
唐正东强调只跟队不复出军苏大战让我上场不现实
4支球队争夺三张季后赛门票 广厦东莞已基本上岸
天津险胜陕西终结4连败 “罗本”合砍59分难救主
李霄鹏特训女足攒够信心 满意集训效果强度看齐男足
苏群：王治郅只见挡拆不给球 钢铁长城何日重现？
山东巨无霸为何竟砍7分8板 下个对手有人令他兴奋
一人伤停令江苏外线半瘫痪 晋级总决赛越来越迷茫
陈江华揭秘此前为何低迷 一法宝令他掀起得分狂潮
法国内讧不断升级 阿内尔卡永久退出后再爆全队罢训
新男篮敲定首场热身对手 激战澳洲两主帅均迎首秀
日本足协竞选FIFA执委 中国方案不明或失外交良机
韦迪专访中国申办世界杯非难事 已上报总局领导
新浪独家连线张吉龙：继续代理主席 成为FIFA执委
成足淘来史上第一高 曾试训博尔顿本周有望登场(图)
专家：颁重典体现篮协优于足协 0容忍需高水准执法
陈江华伤愈首次惊人爆发 广东狂胜浙江豪取十连胜
胡人天连续3场绽放光芒仍低调 直言功劳属于阿里汉
港足夺冠令国字号蒙羞 10年不胜之队竟败他们脚下
李春江93年被辽宁“放逐” 他也曾为冠军苦交学费
江苏外教赢球却赞辽宁核心 苏军一战术让郭帅难防
争议哨声激怒前麦蒂替补 斯奈德不满判罚拳击裁判
阿的江赛后暗示不惧外援 福建外教感慨一人没法防
CBA传奇外援控卫加盟山西 惊艳打法将令球队质变
蔡振华上任发表正式讲话 意义将超反黑专案组成立
篮协再罚山西主场15万元 本赛季CBA总罚单超百万
全运14决赛综述：山东露冠军相 范志毅告别四强
高红点评德巴大战玛塔有失水准 世界冠军受制1点
黄俊杰患白血病可能为误传 是否保外就医不得而知
由雪花秘扇揭上海足坛女同故事 女足队员与男争女
水货外援令巩晓彬哭笑不得 谎报身高成最普遍招数
米卢任塞尔维亚国足助教 备战世界杯搜集对手情报
曝吕锋南勇联手把持足协小金库 每单赞助吃20%回扣
辽宁“盼”来俩NBA悍将 阿联前雄鹿队友有望加盟
广东击溃广厦豪取五连胜 经典一战造就两历史时刻
男篮亚青赛平地起惊雷 中国罢赛被判0-20负叙利亚
十年1亿7千万投入终到收获时 他们才是本季真黑马
陈亦明发表声明李承鹏等人3日内道歉 否则诉诸法律
美媒曝斯马什帕克签约广东 科比搭档将助宏远卫冕
谁为亚洲赛场失败埋单 无缘世青赛将埋没下个姚明
女足头名一人之功不可忘 张健强外交手段争赛程优势
易建联低调回国为深圳代言 参加杜锋婚礼下周返美
冲超关键战徐根宝放低姿态 师徒二人将低调进行到底
焦健接班人令外援做配角 奥得捷大合同北京不感冒
韩端禁区内调整打门憾被挡 庞丰月跟进远射稍偏出
五人制国足主帅：队员需练体能 球队目标进军亚洲杯
京城篮球外援给球迷拜大年：祝牛年大吉 牛年好运
“战神”爆发福建客胜青岛 威廉姆斯砍31分难救主
广州自由人取得NBL联赛开门红 主帅心都快跳出来
CBA新控卫从大超赛场走出 邢璐：为篮球放弃恋爱
月薪八万美元威尔斯喊价CBA 火箭弃将组团来华淘金
女足国青0-2负法国 两战0进球小组出线需要创奇迹
央视足夜回顾足坛2010高家军不俗 韦迪肩负使命
传广州著名体育主持被双规 涉嫌受贿35万遭警方调查
专案组曾调取八冠王录像 未清算实德系因时机未到
死神复仇令任何人胆怯 新疆最强点被他逼得13中1
齐鲁德比III山东加时胜青岛 图科爆发砍大号两双
踢球比跑步更减肥：女生们应该参加纯粹的足球运动
姚明烧头香为男篮祈福 热身赛输安哥拉直呼不正常
对照龚建平案给南勇等量刑 法律专家称不低于10年
张路：巴西最强意大利最令我失望 最佳前锋中场都是谁
昔日杀手从未如此动情 郝海东由衷感慨这就是足球
球迷赞李玮峰水原的万里长城 李玮峰充其量是一块砖
阿杯首轮综述：德美豪强开门红 中国力拼小组头名
威尔斯首秀时间仍是未知数 自称状态不佳无意出战
马良行：十年沉淀夺冠非偶然 孙雯是被“说”退役的
辽宁男篮董事长：不差钱决不卖队 成绩不怨郭士强
广东轻取云南获得四连胜 科斯利孤军奋战空砍40+
亚锦赛预赛-中国末节崩盘惜败韩国 7年首负太极虎
CBA“不差钱”就差后勤保障 外援落地先找麦当劳
CBA第42轮-北京一战进前六 辽宁八一恐远离季后赛
国奥小组对手补充英超血液 布莱克本队长是最大牌
韩国联赛再曝赌球惊人丑闻 传统劲旅涉案已达八人
头号球星国骂问候裁判 “空中接力”助新疆横扫辽宁
董事会成员杨楠肯定鲁俊工作 公众对鲁俊期望值过高
江苏否认更改队员年龄：可能秩序册印刷出现错误
陕西与本森迎来最后摊牌 经纪人大开口要加薪150%
10连败引出山东噩梦源泉 为何它比苏粤军更难征服
姚明曾送他全明星戒指 性格王非这样制造广厦奇迹
卫冕冠军否认遭裁判照顾 朱芳雨：天津球迷砸警察
段暄：中国女足半场进攻人数太少 朝鲜队有所保留
汪大昭韦迪缺成功的充分条件 应多向业内名宿求教
CBA第五周MVP球员出炉：张庆鹏联手图科拿走最佳
刘鹏率总局8部门一把手调研 北京三高模式获认可
斯奈德缘何自降身价来CBA 浙江夺援演绎黄雀在后
广州凤铝上诉可改为民事诉讼 要求篮协赔偿5000万
延边确认新赛季首名外援 韩国擎天柱级后卫加盟在即
